id;name;slug;symbol
1042;Siacoin;siacoin;SC
1044;Global Currency Reserve;global-currency-reserve;GCR
1050;Shift;shift;SHIFT
1052;VectorAI;vector;VEC2
1053;Bolivarcoin;bolivarcoin;BOLI
1066;Pakcoin;pakcoin;PAK
1070;Expanse;expanse;EXP
1082;SIBCoin;sibcoin;SIB
1085;Swing;swing;SWING
1087;Factom;factom;FCT
1089;ParallelCoin;parallelcoin;DUO
1090;Save and Gain;save-and-gain;SANDG
1104;Augur;augur;REP
1106;StrongHands;stronghands;SHND
1107;PAC Protocol;pac-protocol;PAC
1120;DraftCoin;draftcoin;DFT
1135;ClubCoin;clubcoin;CLUB
1136;Adzcoin;adzcoin;ADZ
1146;AvatarCoin;avatarcoin;AV
1154;Validity;validity;VAL
1155;Litecred;litecred;LTCR
1156;Yocoin;yocoin;YOC
1159;SaluS;salus;SLS
1164;Francs;francs;FRN
1165;Evil Coin;evil-coin;EVIL
1168;Decred;decred;DCR
1169;PIVX;pivx;PIVX
1172;Safex Token;safex-token;SFT
1175;Rubies;rubies;RBIES
1185;TrumpCoin;trumpcoin;TRUMP
1191;Memetic / PepeCoin;memetic;MEME
1194;Independent Money System;independent-money-system;IMS
1200;NevaCoin;nevacoin;NEVA
1209;PosEx;posex;PEX
1210;Cabbage;cabbage;CAB
1212;MojoCoin;mojocoin;MOJO
1214;Lisk;lisk;LSK
1216;EDRCoin;edrcoin;EDRC
1218;PostCoin;postcoin;POST
1223;BERNcash;berncash;BERN
1229;DigixDAO;digixdao;DGD
1230;Steem;steem;STEEM
1241;FuzzBalls;fuzzballs;FUZZ
1244;HiCoin;hicoin;XHI
1247;AquariusCoin;aquariuscoin;ARCO
1248;Bitcoin 21;bitcoin-21;XBTC21
1250;Zurcoin;zurcoin;ZUR
1252;2GIVE;2give;2GIVE
1254;PlatinumBAR;platinumbar;XPTX
1257;LanaCoin;lanacoin;LANA
1259;PonziCoin;ponzicoin;PONZI
1266;MarteXcoin;martexcoin;MXT
1273;Citadel;citadel;CTL
1274;Waves;waves;WAVES
1279;PWR Coin;powercoin;PWR
1281;ION;ion;ION
1282;High Voltage;high-voltage;HVCO
1285;GoldBlocks;goldblocks;GB
1291;Comet;comet;CMT
1294;Rise;rise;RISE
1297;ChessCoin;chesscoin;CHESS
1298;LBRY Credits;library-credit;LBC
1299;PutinCoin;putincoin;PUT
1306;Cryptojacks;cryptojacks;CJ
1308;HEAT;heat-ledger;HEAT
1312;Steem Dollars;steem-dollars;SBD
1320;Ardor;ardor;ARDR
1321;Ethereum Classic;ethereum-classic;ETC
1340;Karbo;karbo;KRB
1343;Stratis;stratis;STRAX
1351;Aces;aces;ACES
1353;TajCoin;tajcoin;TAJ
1368;Veltor;veltor;VLT
1376;Neo;neo;NEO
1381;Bitcloud;bitcloud;BTDX
1382;NoLimitCoin;nolimitcoin;NLC2
1389;Zayedcoin;zayedcoin;ZYD
1392;Pluton;pluton;PLU
1395;Dollarcoin;dollarcoin;DLC
1396;MustangCoin;mustangcoin;MST
1398;PROUD Money;proud-money;PROUD
1405;Pepe Cash;pepe-cash;PEPECASH
1409;SingularDTV;singulardtv;SNGLS
1414;Firo;firo;FIRO
1434;Advanced Technology Coin;arcticcoin;ARC
1437;Zcash;zcash;ZEC
1439;AllSafe;allsafe;ASAFE
1447;ZClassic;zclassic;ZCL
1454;Lykke;lykke;LKK
1455;Golem;golem-network-tokens;GLM
1464;Internet of People;internet-of-people;IOP
1466;Hush;hush;HUSH
1468;Kurrent;kurrent;KURT
1473;Pascal;pascal;PASC
1474;Eternity;eternity;ENT
1475;Incent;incent;INCNT
1478;DECENT;decent;DCT
1483;vSlice;vslice;VSL
1492;Obyte;obyte;GBYTE
1495;PoSW Coin;posw-coin;POSW
1496;Luna Coin;luna-coin;LUNA
1500;Wings;wings;WINGS
1503;Jupiter;jupiter;JUP
1504;InflationCoin;inflationcoin;IFLT
1505;Alias;alias;ALIAS
1511;PureVidz;purevidz;VIDZ
1514;ICOBID;icobid;ICOB
1515;iBank;ibank;IBANK
1518;Maker;maker;MKR
1521;Komodo;komodo;KMD
1522;FirstCoin;firstcoin;FRST
1527;Waves Community Token;waves-community-token;WCT
1528;Iconic;iconic;ICON
1531;Global Cryptocurrency;global-cryptocurrency;GCC
1546;Centurion;centurion;CNT
1552;Enzyme;enzyme;MLN
1556;Chrono.tech;chrono-tech;TIME
1558;Argus;argus;ARGUS
1562;Swarm City;swarm-city;SWT
1567;Nano;nano;NANO
1578;Zero;zero;ZER
1582;Netko;netko;NETKO
1586;Ark;ark;ARK
1587;Dynamic;dynamic;DYN
1588;Tokes;tokes;TKS
1590;Mercury;mercury;MER
1596;Edgeless;edgeless;EDG
1599;Mavro;mavro;MAVRO
1606;Solaris;solaris;XLR
1609;Asch;asch;XAS
1619;Skycoin;skycoin;SKY
1623;BlazerCoin;blazercoin;BLAZR
1624;Atmos;atmos;ATMOS
1629;Zennies;zennies;ZENI
1630;Coinonat;coinonat;CXT
1632;Concoin;concoin;CONX
1636;XTRABYTES;xtrabytes;XBY
1637;iExec RLC;rlc;RLC
1638;WeTrust;trust;TRST
1651;SpeedCash;speedcash;SCS
1654;BitCore;bitcore;BTX
1657;Bitvolt;bitvolt;VOLT
1658;Lunyr;lunyr;LUN
1659;Gnosis;gnosis-gno;GNO
1660;Monolith;monolith;TKN
1669;Humaniq;humaniq;HMQ
1673;Minereum;minereum;MNE
1674;Cannation;cannation;CNNC
1676;CREA;crea;CREA
1677;Etheroll;etheroll;DICE
1678;InsaneCoin;insanecoin-insn;INSN
1680;Aragon;aragon;ANT
1681;PRIZM;prizm;PZM
1684;Qtum;qtum;QTUM
1687;Digital Money Bits;digital-money-bits;DMB
1691;Project-X;project-x;NANOX
1693;Theresa May Coin;theresa-may-coin;MAY
1694;Sumokoin;sumokoin;SUMO
1697;Basic Attention Token;basic-attention-token;BAT
1698;Horizen;horizen;ZEN
1700;Aeternity;aeternity;AE
1703;Metaverse ETP;metaverse;ETP
1704;eBoost;eboostcoin;EBST
1706;Aidos Kuneen;aidos-kuneen;ADK
1708;Patientory;patientory;PTOY
1710;Veritaseum;veritaseum;VERI
1711;Electra;electra;ECA
1712;Quantum Resistant Ledger;quantum-resistant-ledger;QRL
1715;MobileGo;mobilego;MGO
1719;Peerplays;peerplays-ppy;PPY
1720;IOTA;iota;MIOTA
1721;Mysterium;mysterium;MYST
1722;More Coin;more-coin;MORE
1723;SONM;sonm;SNM
1725;Adelphoi;adelphoi;ADL
1726;ZrCoin;zrcoin;ZRC
1727;Bancor;bancor;BNT
1731;GlobalToken;globaltoken;GLT
1732;Numeraire;numeraire;NMR
1736;Unify;unify;UNIFY
1745;Dinastycoin;dinastycoin;DCY
1747;Onix;onix;ONX
1750;GXChain;gxchain;GXC
1751;ATC Coin;atc-coin;ATCC
1754;Bitradio;bitradio;BRO
1755;Flash;flash;FLASH
1757;FUNToken;funtoken;FUN
1758;TenX;tenx;PAY
1759;Status;status;SNT
1762;Ergo;ergo;ERG
1765;EOS;eos;EOS
1768;AdEx Network;adx-net;ADX
1769;Denarius;denarius-d;D
1771;DAOBet;daobet;BET
1772;Storj;storj;STORJ
1774;SocialCoin;socialcoin-socc;SOCC
1775;adToken;adtoken;ADT
1776;MCO;crypto-com;MCO
1777;CryptoPing;cryptoping;PING
1779;Wagerr;wagerr;WGR
1784;Polybius;polybius;PLBT
1785;Gas;gas;GAS
1786;SunContract;suncontract;SNC
1787;Jetcoin;jetcoin;JET
1788;Metal;metal;MTL
1789;Populous;populous;PPT
1799;Rupee;rupee;RUP
1803;PeepCoin;peepcoin;PCN
1807;Santiment Network Token;santiment;SAN
1808;OMG Network;omg;OMG
1810;CVCoin;cvcoin;CVN
1814;Metrix Coin;metrix-coin;MRX
1816;Civic;civic;CVC
1817;Voyager Token;voyager-token;VGX
1824;BitCoal;bitcoal;COAL
1826;Particl;particl;PART
1828;SmartCash;smartcash;SMART
1830;SkinCoin;skincoin;SKIN
1831;Bitcoin Cash;bitcoin-cash;BCH
1834;Pillar;pillar;PLR
1838;OracleChain;oraclechain;OCT
1839;Binance Coin;binance-coin;BNB
1841;Primalbase Token;primalbase;PBT
1845;IXT;ixledger;IXT
1846;GeyserCoin;geysercoin;GSR
1850;Cream;cream;CRM
1853;OAX;oax;OAX
1856;district0x;district0x;DNT
1861;Stox;stox;STX
1864;Blox;blox;CDT
1866;Bytom;bytom;BTM
1873;Blocktix;blocktix;TIX
1876;Dentacoin;dentacoin;DCN
1878;Shadow Token;shadow-token;SHDW
1881;DeepOnion;deeponion;ONION
1883;Adshares;adshares;ADS
1886;Dent;dent;DENT
1888;InvestFeed;investfeed;IFT
1894;The ChampCoin;the-champcoin;TCC
1896;0x;0x;ZRX
1899;YOYOW;yoyow;YOYOW
1902;MyBit;mybit;MYB
1903;HyperCash;hypercash;HC
1908;Nebulas;nebulas-token;NAS
1916;BiblePay;biblepay;BBP
1918;Achain;achain;ACT
1925;Waltonchain;waltonchain;WTC
1930;Primas;primas;PST
1931;Opus;opus;OPT
1933;Suretly;suretly;SUR
1934;Loopring;loopring;LRC
1935;LiteCoin Ultra;litecoin-ultra;LTCU
1937;Po.et;poet;POE
1947;Monetha;monetha;MTH
1949;Agrello;agrello-delta;DLT
1950;Hiveterminal Token;hiveterminal-token;HVN
1954;Moeda Loyalty Points;moeda-loyalty-points;MDA
1955;Neblio;neblio;NEBL
1958;TRON;tron;TRX
1961;imbrex;imbrex;REX
1962;BUZZCoin;buzzcoin;BUZZ
1966;Decentraland;decentraland;MANA
1967;Indorse Token;indorse-token;IND
1968;XPA;xpa;XPA
1969;Sociall;sociall;SCL
1970;ATBCoin;atbcoin;ATB
1974;Propy;propy;PRO
1975;Chainlink;chainlink;LINK
1976;Blackmoon;blackmoon;BMC
1982;Kyber Network Crystal Legacy;kyber-network-crystal-legacy;KNC
1983;VIBE;vibe;VIBE
1984;Substratum;substratum;SUB
1985;Chronologic;chronologic;DAY
1991;Rivetz;rivetz;RVT
1993;Kin;kin;KIN
1996;SALT;salt;SALT
1998;Ormeus Coin;ormeus-coin;ORMEUS
2001;ColossusXT;colossusxt;COLX
2002;TrezarCoin;trezarcoin;TZC
2006;Cobinhood;cobinhood;COB
2008;MSD;msd;MSD
2009;Bismuth;bismuth;BIS
2010;Cardano;cardano;ADA
2011;Tezos;tezos;XTZ
2013;Infinity Economics;infinity-economics;XIN
2017;KickToken;kick-token;KICK
2019;Viberate;viberate;VIB
2021;RChain;rchain;REV
2022;Internxt;internxt;INXT
2030;REAL;real;REAL
2031;Hubii Network;hubii-network;HBT
2034;Everex;everex;EVX
2036;PayPie;paypie;PPP
2041;BitcoinZ;bitcoinz;BTCZ
2042;HelloGold;hellogold;HGT
2043;Cindicator;cindicator;CND
2044;Enigma;enigma;ENG
2047;Zeusshield;zeusshield;ZSC
2056;PiplCoin;piplcoin;PIPL
2058;AirSwap;airswap;AST
2061;Blockmason Credit Protocol;blockmason;BCPT
2062;Aion;aion;AION
2064;Maecenas;maecenas;ART
2066;Everus;everus;EVR
2070;DomRaider;domraider;DRT
2071;Request;request;REQ
2074;Ethereum Gold;ethereum-gold;ETG
2076;Blue Protocol;ethereum-blue;BLUE
2081;Ambrosus;amber;AMB
2083;Bitcoin Gold;bitcoin-gold;BTG
2087;KuCoin Token;kucoin-token;KCS
2088;EXRNchain;exrnchain;EXRN
2090;LATOKEN;latoken;LA
2091;Exchange Union;exchange-union;XUC
2092;NULS;nuls;NULS
2095;BOScoin;boscoin;BOS
2096;Ripio Credit Network;ripio-credit-network;RCN
2099;ICON;icon;ICX
2100;JavaScript Token;javascript-token;JS
2103;Intelligent Trading Foundation;intelligent-trading-foundation;ITT
2104;iEthereum;iethereum;IETH
2105;Pirl;pirl;PIRL
2107;LUXCoin;luxcoin;LUX
2110;Dovu;dovu;DOV
2112;Phoenix Global;phoenix-global;PHB
2120;Etherparty;etherparty;FUEL
2122;Ellaism;ellaism;ELLA
2126;FlypMe;flypme;FYP
2130;Enjin Coin;enjin-coin;ENJ
2131;iBTC;ibtc;IBTC
2132;Power Ledger;power-ledger;POWR
2134;Grid+;grid;GRID
2135;Revain;revain;REV
2136;ATLANT;atlant;ATL
2137;Electroneum;electroneum;ETN
2140;SONO;altcommunity-coin;SONO
2143;Streamr;streamr;DATA
2144;SHIELD;shield-xsh;XSH
2147;ELTCOIN;eltcoin;ELTCOIN
2148;Desire;desire;DSR
2151;Autonio;autonio;NIOX
2153;Aeron;aeron;ARNX
2158;Phore;phore;PHR
2160;Innova;innova;INN
2161;Raiden Network Token;raiden-network-token;RDN
2162;Delphy;delphy;DPY
2165;ERC20;erc20;ERC20
2175;DecentBet;decent-bet;DBET
2178;Upfiring;upfiring;UFR
2181;Genesis Vision;genesis-vision;GVT
2184;Privatix;privatix;PRIX
2185;Lethean;lethean;LTHN
2191;Paypex;paypex;PAYX
2200;GoByte;gobyte;GBX
2205;Phantomx;phantomx;PNX
2208;EncrypGen;encrypgen;DNA
2209;Ink;ink;INK
2212;Quantstamp;quantstamp;QSP
2213;QASH;qash;QASH
2215;Energo;energo;TSL
2219;SpankChain;spankchain;SPANK
2221;VoteCoin;votecoin;VOT
2222;Bitcoin Diamond;bitcoin-diamond;BCD
2223;BLOCKv;blockv;VEE
2230;Monkey Project;monkey-project;MONK
2231;Flixxo;flixxo;FLIXX
2235;Time New Bank;time-new-bank;TNB
2236;MyWish;mywish;WISH
2237;EventChain;eventchain;EVC
2240;SoMee.Social;ongsocial;ONG
2241;Ccore;ccore;CCO
2242;Qbao;qbao;QBT
2243;Dragonchain;dragonchain;DRGN
2244;Payfair;payfair;PFR
2245;Presearch;presearch;PRE
2246;CyberMiles;cybermiles;CMT
2247;BlockCDN;blockcdn;BCDN
2248;Cappasity;cappasity;CAPP
2249;Eroscoin;eroscoin;ERO
2251;IoT Chain;iot-chain;ITC
2255;Social Send;social-send;SEND
2256;Bonpay;bonpay;BON
2257;Nekonium;nekonium;NUKO
2260;Datamine;datamine;DAM
2267;Wabi;wabi;WABI
2269;WandX;wandx;WAND
2273;Uquid Coin;uquid-coin;UQC
2274;MediShares;medishares;MDS
2276;Ignis;ignis;IGNIS
2277;SmartMesh;smartmesh;SMT
2279;Playkey;playkey;PKT
2280;Filecoin;filecoin;FIL
2281;BitcoinX;bitcoinx;BCX
2282;Super Bitcoin;super-bitcoin;SBTC
2283;Datum;datum;DAT
2286;MicroMoney;micromoney;AMM
2287;LockTrip;lockchain;LOC
2288;Worldcore;worldcore;WRC
2289;Gifto;gifto;GTO
2290;YENTEN;yenten;YTN
2291;Genaro Network;genaro-network;GNX
2293;United Bitcoin;united-bitcoin;UBTC
2295;Starbase;starbase;STAR
2296;OST;ost;OST
2297;StormX;stormx;STMX
2299;aelf;aelf;ELF
2300;WAX;wax;WAXP
2303;MediBloc;medibloc;MED
2305;NAGA;naga;NGC
2306;Bread;bread;BRD
2307;Bibox Token;bibox-token;BIX
2309;SophiaTX;sophiatx;SPHTX
2310;Bounty0x;bounty0x;BNTY
2313;SIRIN LABS Token;sirin-labs-token;SRN
2314;Cryptopay;cryptopay;CPAY
2315;HTMLCOIN;html-coin;HTML
2316;DeepBrain Chain;deepbrain-chain;DBC
2318;Neumark;neumark;NEU
2319;Qcash;qcash;QC
2320;Utrust;utrust;UTK
2321;QLC Chain;qlink;QLC
2323;HEROcoin;herocoin;PLAY
2324;BigONE Token;bigone-token;ONE
2325;Matryx;matryx;MTX
2329;Hyper Pay;hyper-pay;HPY
2330;Pylon Network;pylon-network;PYLNT
2332;STRAKS;straks;STAK
2335;Lightning Bitcoin;lightning-bitcoin;LBTC
2336;Game.com;game;GTC
2337;Lamden;lamden;TAU
2341;SwftCoin;swftcoin;SWFTC
2342;Covesting;covesting;COV
2343;CanYaCoin;canyacoin;CAN
2344;AppCoins;appcoins;APPC
2345;High Performance Blockchain;high-performance-blockchain;HPB
2346;WaykiChain;waykichain;WICC
2348;Measurable Data Token;measurable-data-token;MDT
2349;Mixin;mixin;XIN
2352;Coinlancer;coinlancer;CL
2354;GET Protocol;get-protocol;GET
2357;AI Doctor;aidoc;AIDOC
2359;Polis;polis;POLIS
2363;Zap;zap;ZAP
2364;TokenClub;tokenclub;TCT
2366;FairGame;fairgame;FAIR
2367;Aigang;aigang;AIX
2370;Bitcoin God;bitcoin-god;GOD
2371;United Traders Token;uttoken;UTT
2374;BitDegree;bitdegree;BDG
2375;QunQun;qunqun;QUN
